title_year,length,budget_revenue,title,year,hour,minute,total_min,budget,revenue,profit
Toy Story (1995),1 hour(s) 21 minute(s),30.0/362.0,Toy Story,1995,1.0,21.0,81.0,30.0,362.0,332.0
A Bug's Life (1998),1 hour(s) 36 minute(s),45.0/363.4,A Bug's Life,1998,1.0,36.0,96.0,45.0,363.4,318.4
Toy Story 2 (1999),1 hour(s) 32 minute(s),90.0/485.0,Toy Story 2,1999,1.0,32.0,92.0,90.0,485.0,395.0
"Monsters, Inc. (2001)",1 hour(s) 30 minute(s),115.0/528.8,"Monsters, Inc.",2001,1.0,30.0,90.0,115.0,528.8,413.79999999999995
Finding Nemo (2003),1 hour(s) 44 minute(s),94.0/895.6,Finding Nemo,2003,1.0,44.0,104.0,94.0,895.6,801.6
The Incredibles (2004),1 hour(s) 55 minute(s),92.0/631.4,The Incredibles,2004,1.0,55.0,115.0,92.0,631.4,539.4
Cars (2006),1 hour(s) 56 minute(s),70.0/462.0,Cars,2006,1.0,56.0,116.0,70.0,462.0,392.0
Ratatouille (2007),1 hour(s) 51 minute(s),150.0/623.7,Ratatouille,2007,1.0,51.0,111.0,150.0,623.7,473.70000000000005
WALL-E (2008),1 hour(s) 37 minute(s),180.0/521.3,WALL-E,2008,1.0,37.0,97.0,180.0,521.3,341.29999999999995
Up (2009),1 hour(s) 36 minute(s),175.0/731.3,Up,2009,1.0,36.0,96.0,175.0,731.3,556.3
Toy Story 3 (2010),1 hour(s) 43 minute(s),"200.0/1,063.2",Toy Story 3,2010,1.0,43.0,103.0,200.0,1063.2,863.2
Cars 2 (2011),1 hour(s) 53 minute(s),200.0/559.9,Cars 2,2011,1.0,53.0,113.0,200.0,559.9,359.9
Brave (2012),1 hour(s) 40 minute(s),185.0/539.0,Brave,2012,1.0,40.0,100.0,185.0,539.0,354.0
Monsters University (2013),1 hour(s) 47 minute(s),200.0/743.6,Monsters University,2013,1.0,47.0,107.0,200.0,743.6,543.6
Inside Out (2015),1 hour(s) 42 minute(s),175.0/677.1,Inside Out,2015,1.0,42.0,102.0,175.0,677.1,502.1
